colorNameId,participantId,lang0,phaseNum,trialNum,tileNum,name,r,g,b,lab_l,lab_a,lab_b,bin
312,3157,Spanish (español),0,6,11,lima,0,255,48,87,-84,76,10
313,3153,English (English),0,1,0,Sea green,0,255,183,89,-66,20,13
314,3153,English (English),0,1,1,Royal blue,0,42,255,35,68,-102,24
315,3153,English (English),0,1,2,Violet,187,0,255,49,88,-79,27
316,3153,English (English),0,1,3,Bright yellow,255,245,0,94,-16,92,6
317,3153,English (English),0,1,4,,0,226,255,82,-35,-26,17
318,3153,English (English),0,1,5,Light blue,0,243,255,87,-42,-19,16
319,3153,English (English),0,1,6,Red,255,0,17,53,80,62,35
320,3153,English (English),0,1,7,Neon green,0,255,91,88,-81,62,11
321,3153,English (English),0,1,8,,98,0,255,37,81,-99,26
322,3153,English (English),0,1,9,Blue,0,127,255,54,19,-71,21
323,3153,English (English),0,1,10,Fuchsia,255,0,230,58,94,-49,29
324,3153,English (English),0,1,11,Lime green,68,255,0,88,-80,83,9
325,3167,English (English),0,1,0,Magenta,244,0,255,58,96,-63,28
326,3167,English (English),0,1,1,Blue,0,110,255,49,30,-78,22
327,3167,English (English),0,1,2,Lime green,0,255,25,87,-85,80,10
328,3167,English (English),0,1,3,Dark blue,83,0,255,36,80,-101,25
329,3167,English (English),0,1,4,Burnt Orange,255,155,0,72,29,77,3
330,3167,English (English),0,1,5,Mustard,255,224,0,89,-6,88,5
331,3167,English (English),0,1,6,Orange,255,106,0,62,53,71,1
332,3167,English (English),0,1,7,Light Green,0,255,157,88,-71,33,12
333,3167,English (English),0,1,8,Medium green,0,255,138,88,-75,41,12
334,3167,English (English),0,1,9,Red,255,0,78,53,81,32,34
335,3167,English (English),0,1,10,Deep blue,0,53,255,37,63,-99,24
336,3167,English (English),0,1,11,,255,203,0,83,4,85,4
337,3161,English (English),0,3,0,Green,67,255,0,88,-81,83,9
338,3161,English (English),0,3,1,Yellow,223,255,0,94,-34,91,7
339,3161,English (English),0,3,2,Light orange,255,175,0,77,18,80,3
340,3161,English (English),0,3,3,Pink,255,0,145,55,85,-5,31
341,3161,English (English),0,3,4,Blue,0,58,255,38,61,-97,24
342,3161,English (English),0,3,5,Red,255,0,41,53,80,52,35
343,3161,English (English),0,3,6,Red-orange,255,98,0,61,56,70,1
